 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,05182021_7:a_00001,31,428.565,195.823,428.565,195.823,7.221,5.466,152.179
2,05182021_7:a_00001,28,559.964,217.929,559.964,217.929,6.614,5.390,124.149
3,05182021_7:a_00001,44,650.409,225.818,650.409,225.818,8.734,6.414,147.737
4,05182021_7:a_00001,31,707.339,259.984,707.339,259.984,7.495,5.266,166.881
5,05182021_7:a_00001,55,490.027,396.664,490.027,396.664,9.693,7.225,37.280
6,05182021_7:a_00001,1076,331.335,542.286,331.335,542.286,39.301,34.859,176.088
7,05182021_7:a_00001,24,604.125,527.875,604.125,527.875,6.195,4.932,124.458
8,05182021_7:a_00001,34,428.206,585.941,428.206,585.941,8.861,4.885,149.780
9,05182021_7:a_00001,38,591.789,587.079,591.789,587.079,8.348,5.795,155.105
10,05182021_7:a_00001,22,359.409,645.727,359.409,645.727,6.319,4.433,28.774
11,05182021_7:a_00001,81,568.191,650.426,568.191,650.426,14.281,7.222,1.336
12,05182021_7:a_00001,107,489.696,676.893,489.696,676.893,13.804,9.869,167.309
13,05182021_7:a_00001,274,372.398,722.281,372.398,722.281,24.448,14.270,29.309
14,05182021_7:a_00001,57,439.342,720.991,439.342,720.991,12.679,5.724,169.059
15,05182021_7:a_00001,27,291.574,775.574,291.574,775.574,6.718,5.117,28.769
16,05182021_7:a_00001,22,344.727,775.091,344.727,775.091,6.735,4.159,7.209
17,05182021_7:a_00001,29,529.534,785.569,529.534,785.569,7.665,4.817,147.597
18,05182021_7:a_00001,65,291.608,817.146,291.608,817.146,12.692,6.521,172.596
19,05182021_7:a_00001,64,448.047,845.344,448.047,845.344,12.628,6.453,7.585
20,05182021_7:a_00001,80,382.525,880.337,382.525,880.337,13.255,7.684,165.489
21,05182021_7:a_00001,73,272.719,895.815,272.719,895.815,12.932,7.187,179.263
22,05182021_7:a_00001,40,246.875,912.700,246.875,912.700,7.829,6.506,177.665
23,05182021_7:a_00001.tif,437,65.006,71.559,65.006,71.559,29.537,18.838,91.257
24,05182021_7:a_00001.tif,25,295.500,55.500,295.500,55.500,5.642,5.642,0.000
25,05182021_7:a_00001.tif,389,440.991,71.546,440.991,71.546,26.455,18.722,90.153
26,05182021_7:a_00001.tif,389,468.991,71.546,468.991,71.546,26.455,18.722,90.153
27,05182021_7:a_00001.tif,389,496.991,71.546,496.991,71.546,26.455,18.722,90.153
28,05182021_7:a_00001.tif,389,524.991,71.546,524.991,71.546,26.455,18.722,90.153
29,05182021_7:a_00001.tif,220,554.432,70.055,554.432,70.055,32.305,8.671,94.653
30,05182021_7:a_00001.tif,25,600.500,55.500,600.500,55.500,5.642,5.642,0.000
31,05182021_7:a_00001.tif,241,613.326,69.185,613.326,69.185,34.091,9.001,84.127
32,05182021_7:a_00001.tif,215,588.086,72.509,588.086,72.509,34.341,7.971,93.398
33,05182021_7:a_00001.tif,175,92.169,73.849,92.169,73.849,25.483,8.744,76.098
34,05182021_7:a_00001.tif,175,109.169,73.849,109.169,73.849,25.483,8.744,76.098
35,05182021_7:a_00001.tif,311,133.021,76.082,133.021,76.082,20.773,19.063,90.497
36,05182021_7:a_00001.tif,175,154.169,73.849,154.169,73.849,25.483,8.744,76.098
37,05182021_7:a_00001.tif,311,192.021,76.082,192.021,76.082,20.773,19.063,90.497
38,05182021_7:a_00001.tif,396,218.301,78.538,218.301,78.538,27.471,18.354,70.561
39,05182021_7:a_00001.tif,344,247.552,75.863,247.552,75.863,22.369,19.580,84.250
40,05182021_7:a_00001.tif,310,275.810,75.029,275.810,75.029,20.260,19.482,110.062
41,05182021_7:a_00001.tif,310,314.810,75.029,314.810,75.029,20.260,19.482,110.062
42,05182021_7:a_00001.tif,451,343.657,80.797,343.657,80.797,29.783,19.281,88.802
43,05182021_7:a_00001.tif,375,385.865,76.796,385.865,76.796,24.066,19.840,85.361
44,05182021_7:a_00001.tif,175,641.169,73.849,641.169,73.849,25.483,8.744,76.098
45,05182021_7:a_00001.tif,344,664.552,75.863,664.552,75.863,22.369,19.580,84.250
