 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,D:slice:49,570,339.116,59.639,339.116,59.639,36.385,19.947,166.513
2,D:slice:49,1832,64.652,97.886,64.652,97.886,49.848,46.794,150.204
3,D:slice:49,360,413.578,108.775,413.578,108.775,27.088,16.921,168.186
4,D:slice:50,587,345.996,59.994,345.996,59.994,36.503,20.475,8.396
5,D:slice:50,1787,77.969,102.108,77.969,102.108,75.566,30.110,5.018
6,D:slice:50,349,420.202,110.738,420.202,110.738,27.085,16.406,175.001
7,D:slice:51,604,351.156,59.914,351.156,59.914,33.753,22.784,160.511
8,D:slice:51,1849,85.085,101.649,85.085,101.649,65.453,35.968,156.556
9,D:slice:51,353,426.154,110.265,426.154,110.265,24.514,18.335,11.990
10,D:slice:52,596,358.649,62.604,358.649,62.604,38.009,19.965,1.868
11,D:slice:52,1774,97.964,103.579,97.964,103.579,59.345,38.061,22.804
12,D:slice:52,350,433.257,111.843,433.257,111.843,24.181,18.429,168.837
13,D:slice:53,592,364.432,62.851,364.432,62.851,31.402,24.004,167.950
14,D:slice:53,1778,104.134,106.310,104.134,106.310,77.146,29.345,170.551
15,D:slice:53,351,438.953,113.480,438.953,113.480,27.003,16.551,166.873
16,D:slice:54,588,372.582,64.335,372.582,64.335,39.277,19.061,172.477
17,D:slice:54,1836,112.072,104.249,112.072,104.249,54.884,42.593,144.846
18,D:slice:54,350,445.957,114.203,445.957,114.203,27.323,16.310,179.254
19,D:slice:55,594,380.441,63.562,380.441,63.562,31.775,23.802,4.318
20,D:slice:55,1781,126.638,106.564,126.638,106.564,71.700,31.627,10.209
21,D:slice:55,345,452.175,115.425,452.175,115.425,24.691,17.790,6.859
22,D:slice:56,574,385.866,65.551,385.866,65.551,37.441,19.520,168.969
23,D:slice:56,1833,133.253,108.021,133.253,108.021,70.267,33.214,160.952
24,D:slice:56,352,457.651,116.719,457.651,116.719,24.102,18.595,165.577
25,D:slice:57,597,392.110,65.557,392.110,65.557,35.196,21.597,10.239
26,D:slice:57,1795,145.996,108.352,145.996,108.352,52.777,43.305,25.954
27,D:slice:57,354,464.186,117.540,464.186,117.540,26.994,16.697,168.692
28,D:slice:58,597,397.617,66.396,397.617,66.396,34.985,21.727,160.789
29,D:slice:58,1801,153.765,111.659,153.765,111.659,78.442,29.233,177.493
30,D:slice:58,346,470.434,119.275,470.434,119.275,26.710,16.494,178.114
31,D:slice:59,597,405.282,68.343,405.282,68.343,36.820,20.644,5.323
32,D:slice:59,1835,160.126,110.248,160.126,110.248,60.018,38.928,148.977
33,D:slice:59,355,476.413,119.238,476.413,119.238,24.906,18.148,10.502
34,D:slice:60,584,411.308,69.158,411.308,69.158,32.469,22.901,163.132
35,D:slice:60,1787,175.641,111.433,175.641,111.433,67.191,33.863,16.175
36,D:slice:60,353,483.084,120.523,483.084,120.523,24.358,18.452,167.641
37,D:slice:61,592,419.375,69.929,419.375,69.929,38.985,19.335,178.322
38,D:slice:61,1833,182.882,113.683,182.882,113.683,73.945,31.562,165.730
39,D:slice:61,344,489.006,122.826,489.006,122.826,27.011,16.215,169.222
40,D:slice:62,607,426.266,69.072,426.266,69.072,30.993,24.936,175.020
41,D:slice:62,1809,195.559,112.811,195.559,112.811,50.113,45.962,166.246
42,D:slice:62,345,495.538,122.929,495.538,122.929,27.070,16.227,0.169
43,D:slice:63,585,432.279,71.199,432.279,71.199,38.570,19.312,174.163
44,D:slice:63,1825,203.820,116.138,203.820,116.138,76.568,30.348,2.754
45,D:slice:63,346,501.890,124.454,501.890,124.454,24.197,18.206,5.430
46,D:slice:64,607,438.825,71.801,438.825,71.801,32.525,23.762,10.433
47,D:slice:64,1815,209.759,115.847,209.759,115.847,63.772,36.237,153.074
48,D:slice:64,350,506.943,125.360,506.943,125.360,24.530,18.167,162.680
49,D:slice:65,593,445.429,73.476,445.429,73.476,36.615,20.621,164.360
50,D:slice:65,1818,224.742,115.570,224.742,115.570,63.568,36.414,21.720
51,D:slice:65,351,513.132,126.189,513.132,126.189,26.898,16.615,168.800
52,D:slice:66,591,454.175,74.695,454.175,74.695,34.857,21.588,7.339
53,D:slice:66,1814,232.567,119.477,232.567,119.477,75.902,30.430,169.329
