 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
1,V1.F5 Select:1.47 s,4734,1233.376,73.051,1233.376,73.051,87.818,68.637,178.038
2,V1.F5 Select:1.47 s,23,226.891,94.283,226.891,94.283,6.015,4.869,9.556
3,V1.F5 Select:1.47 s,49,437.847,101.071,437.847,101.071,8.557,7.291,132.762
4,V1.F5 Select:1.47 s,5533,1199.822,645.682,1199.822,645.682,98.866,71.256,70.108
5,V1.F5 Select:1.47 s,651,796.277,649.343,796.277,649.343,37.914,21.862,176.681
6,V1.F5 Select:1.47 s,115,82.170,800.457,82.170,800.457,19.678,7.441,178.192
7,V1.F5 Select:1.47 s,45,62.078,982.056,62.078,982.056,8.729,6.563,174.834
8,V1.F5 Select:1.47 s,616,160.903,1017.570,160.903,1017.570,56.026,13.999,172.611
9,V1.F5 Select:1.47 s,126,1275.111,1017.135,1275.111,1017.135,13.642,11.760,102.882
10,V1.F5 Select:1.47 s,24,203.375,1022.625,203.375,1022.625,9.442,3.236,178.442
11,V1.F5 Select:1.53 s,6328,1198.092,73.569,1198.092,73.569,126.838,63.522,14.944
12,V1.F5 Select:1.53 s,24,227.042,93.792,227.042,93.792,5.823,5.248,36.309
13,V1.F5 Select:1.53 s,49,437.908,100.929,437.908,100.929,8.557,7.291,142.293
14,V1.F5 Select:1.53 s,4233,1181.060,642.902,1181.060,642.902,101.342,53.182,63.137
15,V1.F5 Select:1.53 s,545,793.269,649.638,793.269,649.638,32.251,21.516,4.052
16,V1.F5 Select:1.53 s,100,79.200,799.400,79.200,799.400,16.989,7.495,8.838
17,V1.F5 Select:1.53 s,45,62.078,982.056,62.078,982.056,8.729,6.563,174.834
18,V1.F5 Select:1.53 s,887,148.604,1014.844,148.604,1014.844,58.039,19.459,7.393
19,V1.F5 Select:1.53 s,286,1266.182,1017.668,1266.182,1017.668,24.317,14.975,179.461
20,V1.F5 Select:1.53 s,35,103.043,1020.786,103.043,1020.786,8.664,5.143,125.295
21,V1.F5 Select:1.60 s,6716,1158.058,70.741,1158.058,70.741,133.911,63.856,176.561
22,V1.F5 Select:1.60 s,26,227.077,93.846,227.077,93.846,6.414,5.161,42.118
23,V1.F5 Select:1.60 s,49,438.051,101.153,438.051,101.153,8.869,7.034,138.463
24,V1.F5 Select:1.60 s,21,163.833,156.452,163.833,156.452,8.167,3.274,177.484
25,V1.F5 Select:1.60 s,4883,1148.240,633.947,1148.240,633.947,105.407,58.983,120.797
26,V1.F5 Select:1.60 s,557,780.672,650.387,780.672,650.387,39.989,17.735,4.767
27,V1.F5 Select:1.60 s,45,77.189,797.189,77.189,797.189,8.019,7.145,163.183
28,V1.F5 Select:1.60 s,41,61.768,982.110,61.768,982.110,8.135,6.417,167.317
29,V1.F5 Select:1.60 s,305,1271.707,1015.372,1271.707,1015.372,26.108,14.874,52.765
30,V1.F5 Select:1.60 s,1527,113.488,1011.198,113.488,1011.198,70.178,27.704,0.595
31,V1.F5 Select:1.67 s,4469,1138.629,68.261,1138.629,68.261,86.145,66.053,179.372
32,V1.F5 Select:1.67 s,20,226.750,93.750,226.750,93.750,5.142,4.953,45.003
33,V1.F5 Select:1.67 s,43,437.942,101.174,437.942,101.174,8.237,6.647,139.919
34,V1.F5 Select:1.67 s,5337,1132.763,630.626,1132.763,630.626,96.993,70.060,71.099
35,V1.F5 Select:1.67 s,662,772.866,649.050,772.866,649.050,38.425,21.936,179.650
36,V1.F5 Select:1.67 s,111,73.833,794.725,73.833,794.725,18.986,7.444,177.092
37,V1.F5 Select:1.67 s,20,1253.450,817.150,1253.450,817.150,7.173,3.550,171.557
38,V1.F5 Select:1.67 s,18506,1204.742,967.797,1204.742,967.797,203.460,115.809,26.902
39,V1.F5 Select:1.67 s,2519,79.606,990.057,79.606,990.057,70.969,45.193,8.276
40,V1.F5 Select:1.73 s,6099,1104.182,68.417,1104.182,68.417,125.150,62.049,13.849
41,V1.F5 Select:1.73 s,49,437.949,101.051,437.949,101.051,8.247,7.565,134.997
42,V1.F5 Select:1.73 s,4120,1113.465,624.821,1113.465,624.821,101.508,51.678,59.752
43,V1.F5 Select:1.73 s,529,767.368,648.485,767.368,648.485,32.159,20.944,7.424
44,V1.F5 Select:1.73 s,97,70.747,793.139,70.747,793.139,16.841,7.334,11.175
45,V1.F5 Select:1.73 s,29016,1107.039,972.416,1107.039,972.416,282.942,130.572,179.076
46,V1.F5 Select:1.73 s,2744,61.421,979.210,61.421,979.210,68.754,50.816,9.206
47,V1.F5 Select:1.80 s,4351,1043.689,61.527,1043.689,61.527,85.887,64.502,1.158
48,V1.F5 Select:1.80 s,49,437.765,101.173,437.765,101.173,8.537,7.308,143.002
49,V1.F5 Select:1.80 s,5395,1060.672,620.596,1060.672,620.596,98.076,70.039,75.515
50,V1.F5 Select:1.80 s,687,743.400,640.456,743.400,640.456,37.810,23.135,6.575
51,V1.F5 Select:1.80 s,115,68.187,790.735,68.187,790.735,19.504,7.507,176.827
52,V1.F5 Select:1.80 s,28664,962.913,958.088,962.913,958.088,263.320,138.600,19.904
53,V1.F5 Select:1.80 s,2835,45.166,955.743,45.166,955.743,73.078,49.394,6.477
54,V1.F5 Select:1.80 s,10507,1216.135,985.594,1216.135,985.594,152.315,87.831,16.345
55,V1.F5 Select:1.87 s,6081,1006.396,60.140,1006.396,60.140,126.618,61.149,12.671
56,V1.F5 Select:1.87 s,805,1266.999,94.674,1266.999,94.674,38.976,26.297,62.396
57,V1.F5 Select:1.87 s,50,437.840,101.220,437.840,101.220,8.795,7.238,144.206
58,V1.F5 Select:1.87 s,4145,1041.134,626.424,1041.134,626.424,101.918,51.783,63.063
59,V1.F5 Select:1.87 s,542,739.788,639.454,739.788,639.454,33.364,20.684,10.541
