,Area,x,y,XM,YM,Major,Minor,Angle,imagejtime,approx_frame,frame,particle,dx,dy,time,dv,dv_m,Area_m,dx_m,filename,particle_u
15,38,437.605,101.15799999999999,437.605,101.15799999999999,7.87,6.148,131.615,5.27,52.699999999999996,53,463,0.09499999999997044,-0.013999999999995794,5.3,0.09602603813546755,0.5934409156771895,14.513112,0.5870999999998173,V1.F5 Select,V1.F5 Select-463
16,45,437.7,101.14399999999999,437.7,101.14399999999999,8.096,7.077000000000001,132.996,5.4,54.0,54,463,0.08099999999998886,-0.07349999999998857,5.4,0.10937664284478892,0.6759476527807955,17.18658,0.5005799999999312,V1.F5 Select,V1.F5 Select-463
17,45,437.767,101.01100000000001,437.767,101.01100000000001,8.182,7.002999999999999,126.902,5.47,54.699999999999996,55,463,0.07349999999999568,0.0045000000000001705,5.5,0.07363762625179716,0.45508053023610645,17.18658,0.4542299999999733,V1.F5 Select,V1.F5 Select-463
18,49,437.847,101.15299999999999,437.847,101.15299999999999,8.27,7.544,135.0,5.6,56.0,56,463,0.09300000000001774,0.07449999999999335,5.6,0.11916060590649205,0.7364125445021208,18.714275999999998,0.5747400000001096,V1.F5 Select,V1.F5 Select-463
19,53,437.95300000000003,101.16,437.95300000000003,101.16,8.916,7.569,137.785,5.67,56.7,57,463,0.09900000000001796,-0.04449999999999932,5.7,0.10854146673047815,0.670786264394355,20.241972,0.611820000000111,V1.F5 Select,V1.F5 Select-463
20,55,438.045,101.064,438.045,101.064,8.831,7.93,138.339,5.8,58.0,58,463,0.009999999999990905,-0.04800000000000182,5.8,0.04903060268852498,0.3030091246150844,21.00582,0.061799999999943796,V1.F5 Select,V1.F5 Select-463
21,55,437.973,101.064,437.973,101.064,9.093,7.702000000000001,138.596,5.87,58.7,59,463,-0.036000000000001364,0.0,5.9,0.036000000000001364,0.22248000000000842,21.00582,-0.22248000000000842,V1.F5 Select,V1.F5 Select-463
22,55,437.973,101.064,437.973,101.064,9.093,7.702000000000001,138.596,6.0,60.0,60,463,0.013499999999993406,-0.031999999999996476,6.0,0.0347311099736187,0.21463825963696356,21.00582,0.08342999999995925,V1.F5 Select,V1.F5 Select-463
23,56,438.0,101.0,438.0,101.0,9.049,7.88,134.998,6.07,60.7,61,463,0.013499999999993406,-0.031999999999996476,6.1,0.0347311099736187,0.21463825963696356,21.387743999999998,0.08342999999995925,V1.F5 Select,V1.F5 Select-463
24,56,438.0,101.0,438.0,101.0,9.049,7.88,134.998,6.2,62.0,62,463,0.0,0.0,6.2,0.0,0.0,21.387743999999998,0.0,V1.F5 Select,V1.F5 Select-463
25,56,438.0,101.0,438.0,101.0,9.049,7.88,134.998,6.27,62.699999999999996,63,463,0.0,0.0,6.3,0.0,0.0,21.387743999999998,0.0,V1.F5 Select,V1.F5 Select-463
26,51,437.735,101.029,437.735,101.029,8.748,7.422999999999999,133.542,7.13,71.3,71,562,0.0,0.0,7.1,0.0,0.0,19.478123999999998,0.0,V1.F5 Select,V1.F5 Select-562
27,51,437.735,101.029,437.735,101.029,8.748,7.422999999999999,133.542,7.2,72.0,72,562,0.0,0.0,7.2,0.0,0.0,19.478123999999998,0.0,V1.F5 Select,V1.F5 Select-562
28,51,437.735,101.029,437.735,101.029,8.748,7.422999999999999,133.542,7.27,72.69999999999999,73,562,0.022499999999979536,0.03549999999999898,7.3,0.042029751367323204,0.2597438634500574,19.478123999999998,0.13904999999987352,V1.F5 Select,V1.F5 Select-562
29,50,437.78,101.1,437.78,101.1,8.521,7.472,137.19299999999998,7.4,74.0,74,562,0.026499999999998636,-0.023999999999993804,7.4,0.03575262228144434,0.220951205699326,19.0962,0.16376999999999156,V1.F5 Select,V1.F5 Select-562
30,52,437.788,100.98100000000001,437.788,100.98100000000001,8.67,7.636,133.811,7.47,74.7,75,562,-0.022499999999979536,-0.03549999999999898,7.5,0.042029751367323204,0.2597438634500574,19.860048,-0.13904999999987352,V1.F5 Select,V1.F5 Select-562
31,51,437.735,101.029,437.735,101.029,8.748,7.422999999999999,133.542,7.6,76.0,76,562,-0.0519999999999925,0.02499999999999858,7.6,0.05769748694699925,0.3565704693324554,19.478123999999998,-0.3213599999999536,V1.F5 Select,V1.F5 Select-562
32,49,437.684,101.031,437.684,101.031,8.575,7.276,142.675,7.73,77.30000000000001,77,562,0.022499999999979536,0.03549999999999898,7.7,0.042029751367323204,0.2597438634500574,18.714275999999998,0.13904999999987352,V1.F5 Select,V1.F5 Select-562
33,50,437.78,101.1,437.78,101.1,8.521,7.472,137.19299999999998,7.8,78.0,78,562,0.1209999999999809,0.0005000000000023874,7.8,0.12100103305342223,0.7477863842701493,19.0962,0.747779999999882,V1.F5 Select,V1.F5 Select-562
34,47,437.926,101.03200000000001,437.926,101.03200000000001,8.376,7.145,139.895,7.87,78.7,79,562,0.0665000000000191,0.0045000000000001705,7.9,0.0666520817379513,0.411909865140539,17.950428,0.410970000000118,V1.F5 Select,V1.F5 Select-562
35,46,437.913,101.109,437.913,101.109,8.4,6.972,145.017,8.0,80.0,80,562,-0.046499999999980446,0.045000000000001705,8.0,0.06470896383035611,0.3999013964716008,17.568504,-0.28736999999987917,V1.F5 Select,V1.F5 Select-562
36,45,437.833,101.12200000000001,437.833,101.12200000000001,8.356,6.857,139.10299999999998,8.07,80.7,81,562,-0.03999999999999204,0.060000000000002274,8.1,0.07211102550927727,0.4456461376473335,17.18658,-0.24719999999995082,V1.F5 Select,V1.F5 Select-562
37,48,437.833,101.229,437.833,101.229,8.277000000000001,7.3839999999999995,143.983,8.2,82.0,82,562,0.035499999999984766,0.03999999999999915,8.2,0.05348130514487142,0.33051446579530536,18.332352,0.21938999999990585,V1.F5 Select,V1.F5 Select-562
38,47,437.904,101.20200000000001,437.904,101.20200000000001,8.285,7.223,137.023,8.33,83.3,83,562,0.09499999999999886,-0.035000000000003695,8.3,0.10124228365658314,0.6256773129976838,17.950428,0.587099999999993,V1.F5 Select,V1.F5 Select-562
39,44,438.023,101.15899999999999,438.023,101.15899999999999,8.277000000000001,6.768,145.576,8.4,84.0,84,562,0.020000000000010232,-0.00650000000000972,8.4,0.021029740844825826,0.1299637984210236,16.804655999999998,0.12360000000006323,V1.F5 Select,V1.F5 Select-562
40,45,437.944,101.189,437.944,101.189,8.291,6.9110000000000005,151.781,8.47,84.7,85,562,-0.02600000000001046,0.05300000000000438,8.5,0.0590338885725903,0.364829431378608,17.18658,-0.16068000000006463,V1.F5 Select,V1.F5 Select-562
41,51,437.971,101.265,437.971,101.265,8.748,7.422999999999999,136.458,8.6,86.0,86,562,0.037499999999994316,-0.02949999999999875,8.6,0.04771268175233394,0.29486437322942377,19.478123999999998,0.23174999999996487,V1.F5 Select,V1.F5 Select-562
42,54,438.019,101.13,438.019,101.13,8.883,7.74,142.533,8.73,87.30000000000001,87,562,-0.013499999999993406,-0.012000000000000455,8.7,0.018062391868183817,0.11162558174537598,20.623896,-0.08342999999995925,V1.F5 Select,V1.F5 Select-562
43,54,437.944,101.241,437.944,101.241,8.855,7.765,153.116,8.8,88.0,88,562,0.0,0.04100000000000392,8.8,0.04100000000000392,0.25338000000002425,20.623896,0.0,V1.F5 Select,V1.F5 Select-562
